date,cash,stock_value,end_equity,daily_return_pct,exposure_pct,drawdown_pct,held_symbols
2025-10-17,499293.61,651066.4,1150360.01,-2.2088,56.6,-5.2067,"002230,300750,688981"
2025-10-20,261959.26,894704.2,1156663.46,0.548,77.35,-4.6873,"002230,300750,600941,688981"
2025-10-21,291592.41,879874.6,1171467.01,1.2798,75.11,-3.4674,"002230,300750,600519,600941,688981"
2025-10-22,293746.56,872308.5,1166055.06,-0.462,74.81,-3.9134,"002230,300750,600519,600941,688981"
2025-10-23,563746.79,602418.1,1166164.89,0.0094,51.66,-3.9043,"002230,600519,600941"
2025-10-24,563746.79,604096.1,1167842.89,0.1439,51.73,-3.766,"002230,600519,600941"
2025-10-27,797520.24,371543.1,1169063.34,0.1045,31.78,-3.6655,"600519,600941"
2025-10-28,565872.82,603260.0,1169132.82,0.0059,51.6,-3.6597,"600036,600519,600941"
2025-10-29,565872.82,595701.0,1161573.82,-0.6465,51.28,-4.2826,"600036,600519,600941"
2025-10-30,561887.09,602688.7,1164575.79,0.2584,51.75,-4.0352,"600036,600519,600941"
2025-10-31,565902.72,595800.0,1161702.72,-0.2467,51.29,-4.272,"600036,600519,600941"
2025-11-03,565902.72,603255.0,1169157.72,0.6417,51.6,-3.6577,"600036,600519,600941"
2025-11-04,795345.65,379887.2,1175232.85,0.5196,32.32,-3.1571,"600036,600519"
2025-11-05,571793.99,600438.6,1172232.59,-0.2553,51.22,-3.4043,"600036,600519,600941"
2025-11-06,567623.16,603502.3,1171125.46,-0.0944,51.53,-3.4955,"600036,600519,600941"
2025-11-07,708553.66,464151.0,1172704.66,0.1348,39.58,-3.3654,"600036,600941"
2025-11-10,708553.66,465745.0,1174298.66,0.1359,39.66,-3.2341,"600036,600941"
2025-11-11,708553.66,467221.0,1175774.66,0.1257,39.74,-3.1124,"600036,600941"
2025-11-12,712755.11,464599.3,1177354.41,0.1344,39.46,-2.9822,"600036,600941"
2025-11-13,708552.27,467587.0,1176139.27,-0.1032,39.76,-3.0824,"600036,600941"
2025-11-14,512556.63,661930.3,1174486.93,-0.1405,56.36,-3.2185,"300750,600036,600941"
2025-11-17,474416.36,689093.7,1163510.06,-0.9346,59.23,-4.1231,"300750,600036,600941"
2025-11-18,474416.36,689464.7,1163881.06,0.0319,59.24,-4.0925,"300750,600036,600941"
2025-11-19,329294.58,839876.0,1169170.58,0.4545,71.84,-3.6566,"300750,600036,600519,600941"
